"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"118","Gender-F","IsMarried-N","IsPremiumCust-Y","City-CHENNAI","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-166","Movie-177","Movie-169","Movie-73","Movie-65","Movie-175","Movie-Cutthroat Island","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"119","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-189","Movie-177","Movie-186","Movie-33","Movie-126","Movie-55","Movie-185","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_FirstTimers"
"120","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-157","Movie-115","Movie-196","Movie-200","Movie-167","Movie-147","Movie-185","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_FirstTimers"
"121","Gender-F","IsMarried-N","IsPremiumCust-N","City-BANGALORE","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-190","Movie-89","Movie-118","Movie-20","Movie-72","Movie-138","Movie-75","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-2","CustCat_FirstTimers"
"122","Gender-M","IsMarried-Y","IsPremiumCust-N","City-NOIDA","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-139","Movie-65","Movie-199","Movie-147","Movie-138","Movie-158","Movie-18","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"123","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-139","Movie-20","Movie-91","Movie-194","Movie-127","Movie-56","Movie-114","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_FirstTimers"
"124","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-125","Movie-140","Movie-162","Movie-111","Movie-23","Movie-145","Movie-140","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-4","CustCat_FirstTimers"
"125","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-145","Movie-58","Movie-85","Movie-191","Movie-125","Movie-176","Movie-75","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"126","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-92","Movie-88","Movie-103","Movie-129","Movie-64","Movie-198","Movie-155","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-2","CustCat_FirstTimers"
"127","Gender-M","IsMarried-N","IsPremiumCust-N","City-NOIDA","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-173","Movie-200","Movie-37","Movie-64","Movie-171","Movie-198","Movie-152","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_FirstTimers"
"128","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-26","Movie-121","Movie-167","Movie-139","Movie-63","Movie-52","Movie-69","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_FirstTimers"
"129","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-51","Movie-134","Movie-76","Movie-104","Movie-169","Movie-128","Movie-115","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"130","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-CHENNAI","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-126","Movie-158","Movie-140","Movie-120","Movie-82","Movie-166","Movie-18","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"131","Gender-M","IsMarried-N","IsPremiumCust-N","City-CHENNAI","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-169","Movie-177","Movie-33","Movie-122","Movie-151","Movie-53","Movie-190","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-3","CustCat_FirstTimers"
"132","Gender-F","IsMarried-N","IsPremiumCust-Y","City-BANGALORE","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-169","Movie-106","Movie-184","Movie-71","Movie-49","Movie-38","Movie-18","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-1","CustCat_FirstTimers"
"133","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-42","Movie-39","Movie-28","Movie-66","Movie-188","Movie-174","Movie-100","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_FirstTimers"
"134","Gender-F","IsMarried-N","IsPremiumCust-N","City-HYDERABAD","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-51","Movie-155","Movie-180","Movie-21","Movie-81","Movie-29","Movie-160","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"135","Gender-M","IsMarried-Y","IsPremiumCust-N","City-CHENNAI","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-143","Movie-82","Movie-169","Movie-80","Movie-36","Movie-95","Movie-40","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"136","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-CHENNAI","JobType-Self","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-84","Movie-114","Movie-99","Movie-170","Movie-37","Movie-135","Movie-93","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"137","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-152","Movie-150","Movie-60","Movie-129","Movie-151","Movie-102","Movie-39","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"138","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-42","Movie-72","Movie-120","Movie-90","Movie-103","Movie-123","Movie-32","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"139","Gender-F","IsMarried-N","IsPremiumCust-Y","City-CHENNAI","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-139","Movie-36","Movie-107","Movie-55","Movie-186","Movie-75","Movie-177","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-3","CustCat_FirstTimers"
"140","Gender-F","IsMarried-N","IsPremiumCust-Y","City-BANGALORE","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-69","Movie-113","Movie-57","Movie-67","Movie-155","Movie-36","Movie-180","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-4","CustCat_FirstTimers"
"141","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-96","Movie-33","Movie-188","Movie-134","Movie-75","Movie-17","Movie-195","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"142","Gender-M","IsMarried-N","IsPremiumCust-Y","City-BANGALORE","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-156","Movie-95","Movie-34","Movie-121","Movie-72","Movie-21","Movie-159","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-3","CustCat_FirstTimers"
"143","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-NOIDA","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-52","Movie-165","Movie-37","Movie-79","Movie-117","Movie-168","Movie-166","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"144","Gender-F","IsMarried-N","IsPremiumCust-N","City-CHENNAI","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-64","Movie-69","Movie-96","Movie-70","Movie-87","Movie-167","Movie-63","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"145","Gender-M","IsMarried-N","IsPremiumCust-N","City-NOIDA","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-85","Movie-92","Movie-51","Movie-120","Movie-48","Movie-86","Movie-108","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"146","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-146","Movie-28","Movie-128","Movie-30","Movie-181","Movie-167","Movie-101","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"147","Gender-M","IsMarried-N","IsPremiumCust-N","City-BANGALORE","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-198","Movie-41","Movie-191","Movie-179","Movie-176","Movie-133","Movie-172","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_FirstTimers"
"148","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Hyd","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-26","Movie-93","Movie-137","Movie-123","Movie-108","Movie-149","Movie-128","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"149","Gender-F","IsMarried-Y","IsPremiumCust-N","City-BANGALORE","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-18","Movie-165","Movie-66","Movie-60","Movie-144","Movie-25","Movie-164","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"150","Gender-M","IsMarried-Y","IsPremiumCust-N","City-HYDERABAD","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-49","Movie-45","Movie-80","Movie-81","Movie-168","Movie-189","Movie-66","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_FirstTimers"
"151","Gender-M","IsMarried-N","IsPremiumCust-Y","City-NOIDA","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-71","Movie-180","Movie-107","Movie-81","Movie-75","Movie-79","Movie-80","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_FirstTimers"
"152","Gender-F","IsMarried-N","IsPremiumCust-Y","City-CHENNAI","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-113","Movie-84","Movie-17","Movie-82","Movie-175","Movie-52","Movie-90","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"153","Gender-M","IsMarried-N","IsPremiumCust-Y","City-BANGALORE","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-58","Movie-113","Movie-156","Movie-135","Movie-151","Movie-111","Movie-145","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"154","Gender-F","IsMarried-N","IsPremiumCust-N","City-HYDERABAD","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-44","Movie-51","Movie-135","Movie-170","Movie-179","Movie-135","Movie-129","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-2","CustCat_FirstTimers"
"155","Gender-M","IsMarried-Y","IsPremiumCust-N","City-NOIDA","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-74","Movie-49","Movie-67","Movie-24","Movie-86","Movie-53","Movie-180","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_FirstTimers"
"156","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-111","Movie-171","Movie-184","Movie-50","Movie-155","Movie-37","Movie-144","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_FirstTimers"
"157","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-HYDERABAD","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-32","Movie-131","Movie-54","Movie-138","Movie-159","Movie-107","Movie-162","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"158","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-CHENNAI","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-125","Movie-59","Movie-55","Movie-123","Movie-149","Movie-72","Movie-75","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-4","CustCat_FirstTimers"
"159","Gender-F","IsMarried-N","IsPremiumCust-Y","City-HYDERABAD","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-26","Movie-66","Movie-44","Movie-141","Movie-103","Movie-174","Movie-38","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-1","CustCat_FirstTimers"
"160","Gender-F","IsMarried-Y","IsPremiumCust-N","City-BANGALORE","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-40","Movie-178","Movie-77","Movie-196","Movie-76","Movie-67","Movie-113","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_FirstTimers"
"161","Gender-M","IsMarried-Y","IsPremiumCust-N","City-BANGALORE","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-174","Movie-174","Movie-79","Movie-104","Movie-136","Movie-45","Movie-100","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_FirstTimers"
"162","Gender-M","IsMarried-N","IsPremiumCust-N","City-BANGALORE","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-54","Movie-69","Movie-78","Movie-76","Movie-167","Movie-41","Movie-124","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_FirstTimers"
"163","Gender-M","IsMarried-N","IsPremiumCust-N","City-HYDERABAD","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-116","Movie-181","Movie-40","Movie-134","Movie-137","Movie-113","Movie-83","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_FirstTimers"
"164","Gender-F","IsMarried-Y","IsPremiumCust-N","City-NOIDA","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-164","Movie-24","Movie-115","Movie-65","Movie-21","Movie-86","Movie-111","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-2","CustCat_FirstTimers"
"165","Gender-F","IsMarried-N","IsPremiumCust-Y","City-CHENNAI","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-181","Movie-69","Movie-78","Movie-85","Movie-133","Movie-38","Movie-42","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-1","CustCat_FirstTimers"
"166","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-154","Movie-192","Movie-102","Movie-163","Movie-32","Movie-127","Movie-197","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_FirstTimers"
"167","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-NOIDA","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Single","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-59","Movie-Cutthroat Island","Movie-163","Movie-170","Movie-91","Movie-65","Movie-194","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_FirstTimers"
"168","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Balto","Movie-Jumanji","Movie-The American President","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Heat","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-GoldenEye","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-2","CustCat_Churners"
"169","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Toy Story","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Balto","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-SuddenDeath","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-4","CustCat_Churners"
"170","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Waiting to Exhale","Movie-Balto","Movie-Waiting to Exhale","Movie-Balto","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-The American President","Movie-The American President","Movie-SuddenDeath","Movie-Heat","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-4","CustCat_Churners"
"171","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-GoldenEye","Movie-Nixon","Movie-Toy Story","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Heat","Movie-Jumanji","Movie-Toy Story","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_Churners"
"172","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-Sabrina","Movie-Balto","Movie-Jumanji","Movie-Tom And Huck","Movie-Tom And Huck","Movie-The American President","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-4","CustCat_Churners"
"173","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Jumanji","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-4","CustCat_Churners"
"174","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Nixon","Movie-SuddenDeath","Movie-Sabrina","Movie-GoldenEye","Movie-Nixon","Movie-SuddenDeath","Movie-The American President","Movie-Toy Story","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_Churners"
"175","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Balto","Movie-GoldenEye","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-GoldenEye","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-3","CustCat_Churners"
"176","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Hyd","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-Father of the Bride Part II","Movie-Heat","Movie-Waiting to Exhale","Movie-Balto","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Tom And Huck","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_Churners"
"177","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-Nixon","Movie-Heat","Movie-The American President","Movie-Heat","Movie-Waiting to Exhale","Movie-Nixon","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-SuddenDeath","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-2","CustCat_Churners"
"178","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-GoldenEye","Movie-GoldenEye","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Balto","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Heat","Movie-SuddenDeath","Movie-The American President","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-4","CustCat_Churners"
"179","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Balto","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Toy Story","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Sabrina","Movie-Father of the Bride Part II","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_Churners"
"180","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-Toy Story","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-Jumanji","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_Churners"
